 HEX |   BINARY   |  OCT  |  2nd BYTE   |    BYTES 3,4,5,6     |    ASM-86 INSTRUCTION FORMAT
  A1 | 1010  0001 |  241  | ADDR-LO     | ADDR-HI              | MOV     AX,MEM16
  A2 | 1010  0010 |  242  | ADDR-LO     | ADDR-HI              | MOV     MEM8,AL
  A3 | 1010  0011 |  243  | ADDR-LO     | ADDR-HI              | MOV     MEM16,AX
  A4 | 1010  0100 |  244  |             |                      | MOVS    DEST-STR8,SRC-STR8
  A5 | 1010  0101 |  245  |             |                      | MOVS    DEST-STR16,SRC-STR16
  A6 | 1010  0110 |  246  |             |                      | CMPS    DEST-STR8,SRC-STR8
  A7 | 1010  0111 |  247  |             |                      | CMPS    DEST-STR16,SRC-STR16
  A8 | 1010  1000 |  250  | DATA-8      |                      | TEST    AL,IMMED8
  A9 | 1010  1001 |  251  | DATA-LO     | DATA-HI              | TEST    AX,IMMED8
  AA | 1010  1010 |  252  |             |                      | STOS    DEST-STR8
  AB | 1010  1011 |  253  |             |                      | STOS    DEST-STR16
  AC | 1010  1100 |  254  |             |                      | LODS    SRC-STR8
  AD | 1010  1101 |  255  |             |                      | LODS    SRC-STR16
  AE | 1010  1110 |  256  |             |                      | SCAS    DEST-STR8
  AF | 1010  1111 |  257  |             |                      | SCAS    DEST-STR16
  B0 | 1011  0000 |  260  | DATA-8      |                      | MOV     AL,IMMED8
  B1 | 1011  0001 |  261  | DATA-8      |                      | MOV     CL,IMMED8
  B2 | 1011  0010 |  262  | DATA-8      |                      | MOV     DL,IMMED8
  B3 | 1011  0011 |  263  | DATA-8      |                      | MOV     BL,IMMED8
  B4 | 1011  0100 |  264  | DATA-8      |                      | MOV     AH,IMMED8
  B5 | 1011  0101 |  265  | DATA-8      |                      | MOV     CH,IMMED8
  B6 | 1011  0110 |  266  | DATA-8      |                      | MOV     DH,IMMED8
  B7 | 1011  0111 |  267  | DATA-8      |                      | MOV     BH,IMMED8
  B8 | 1011  1000 |  270  | DATA-LO     | DATA-HI              | MOV     AX,IMMED16
  B9 | 1011  1001 |  271  | DATA-LO     | DATA-HI              | MOV     CX,IMMED16
  BA | 1011  1010 |  272  | DATA-LO     | DATA-HI              | MOV     DX,IMMED16
  BB | 1011  1011 |  273  | DATA-LO     | DATA-HI              | MOV     BX,IMMED16
  BC | 1011  1100 |  274  | DATA-LO     | DATA-HI              | MOV     SP,IMMED16
  BD | 1011  1101 |  275  | DATA-LO     | DATA-HI              | MOV     BP,IMMED16
  BE | 1011  1110 |  276  | DATA-LO     | DATA-HI              | MOV     SI,IMMED16
  BF | 1011  1111 |  277  | DATA-LO     | DATA-HI              | MOV     DI,IMMED16
  C0 | 1100  0000 |  300  |             |                      | (not used)
  C1 | 1100  0001 |  301  |             |                      | (not used)
  C2 | 1100  0010 |  302  | DATA-LO     | DATA-HI              | RET     IMMED16(intraseg)
  C3 | 1100  0011 |  303  |             |                      | RET     (intrasegment)
  C4 | 1100  0100 |  304  | MOD REG R/M | (DISP-LO),(DISP-HI)  | LES     REG16,MEM16
  C5 | 1100  0101 |  305  | MOD REG R/M | (DISP-LO),(DISP-HI)  | LDS     REG16,MEM16
     |            |       |             |                      |
  C6 | 1100  0110 |  306  | MOD 000 R/M | (DISP-LO),(DISP-HI), | MOV     MEM8,IMMED8
     |            |       |             |     DATA-8           |
  C6 | 1100  0110 |  306  | MOD 001 R/M |                      | (not used)
  C6 | 1100  0110 |  306  | MOD 010 R/M |                      | (not used)
  C6 | 1100  0110 |  306  | MOD 011 R/M |                      | (not used)
  C6 | 1100  0110 |  306  | MOD 100 R/M |                      | (not used)
  C6 | 1100  0110 |  306  | MOD 101 R/M |                      | (not used)
  C6 | 1100  0110 |  306  | MOD 110 R/M |                      | (not used)
  C6 | 1100  0110 |  306  | MOD 111 R/M |                      | (not used)
     |            |       |             |                      |
